Title,URL,Description,Date Published,Author,Tags,Categories,data collection date,Locations
Fatal car crash in Walker County,https://www.wvua23.com/fatal-car-crash-in-walker-county/,"By WVUA23 News Reporter Damaris Epps A motorcycle crash in Walker County claimed the life of a 56-year-old man from Nauvoo. The crash occurred around 11 am on Thursday on New Oak Grove Road near Busby Church Road, about 2 miles southeast if Nauvoo. Joseph McLendon, 56, was killed when his motorcycle ran off the road into a ditch and he was flung rom the vehicle. The cause of the crash is currently under investigation.",26-07-24,"WVUA 23 News,","fatal crash, nauvoo, walker county","Featured, Local News",26-07-24,"Nauvoo, Alabama / Walker County, Alabama"
BREAKING NEWS: High speed chase ends in Tuscaloosa; suspect continues,https://www.wvua23.com/breaking-news-high-speed-chase-ends-in-tuscaloosa-suspect-continues/,"By WVUA23 News Reporter Damaris Epps A high-speed police chase began and ended in Tuscaloosa on Thursday evening. According to investigators, the driver of the car was driving at a high rate of speed on Interstate20/59, when Tuscaloosa County Sherriff deputies got behind them attempting to pull them over. The driver failed to comply with the officer's request to pull over; therefore, a chase ensued. After a while, the Tuscaloosa Police Department and Alabama State Troopers had to join in on the pursuit. The driver eventually crashed his vehicle at the intersection between McFarland Boulevard and Jack Warner Parkway, subsequently, getting out of the car and running into the woods. The suspect is still at-large. If you have any information, you can call theTuscaloosa County Sheriff's Officeat (205) 752-0616.",26-07-24,"WVUA 23 News,","Alabama State Troppers, police chase, tuscaloosa county sheirff's office","Crime, Featured, Local News",26-07-24,"Tuscaloosa, Alabama / Tuscaloosa County, Alabama"
Hale County's new storm shelters are almost ready,https://www.wvua23.com/hale-countys-new-storm-shelters-are-almost-ready/,"By WVUA 23 News Reporter Zoe Blair In February, Hale County received almost half a million dollars in funding for new storm shelters. Now, five months later, two of the shelters are almost complete. Hale County was hit by six tornadoes in 2022 and 2023. At the time, the county's nearly 15,000 residents only had one storm shelter. Soon they'll have four more, thanks to funding from U.S. Rep. Terri Sewell. Hale County Emergency Management Agency Director Russell Weeden said the county has needed the shelters for a long time. ""All these years, we haven't had a safe place for people to go,"" Weeden said. ""Putting these storm shelters in is really a game changer."" The four shelters will be in Greensboro, Sawyerville, Akron and Moundville, and the shelters in Sawyerville and Akron locations are nearly complete. ""We poured concrete on those two about three weeks ago and they're actually bringing those shelters in on Monday,"" Weeden said. Crews will also pour the concrete on the Moundville shelter on Monday. Weeden said the Hale County community is excited about the new shelters ahead of the tornado season later this fall. ""They're very, very excited because we've never had storm shelters here,"" he said. ""They've really just had to kind of make do. They could see the tornado warning, but a lot of times they'd stay in their mobile home because they didn't have a safe place to go."" The shelters will have restrooms, benches on each side and middle, and a backup generator. Between the four shelters, nearly 400 residents will be able to stay safe during a storm. ""It's for an EF5 tornado, so it really is a safe place versus somebody's basement or site-built home, so it really is a safe place to go,"" Weeden said. Weeden said Hale County EMA is currently working with FEMA to get six more shelters in the county.",26-07-24,"WVUA 23 News,","hale county, hale county ema, storm shelter, tornado preparation","Featured, Local News",26-07-24,"Greensboro, Alabama / Sawyerville, Alabama / Akron, Alabama / Moundville, Alabama"
"Diving into Alabama's opponents: Week 14, Auburn",https://www.wvua23.com/diving-into-alabamas-opponents-week-14-auburn/,"By WVUA 23 Digital Reporter Josh Batchelor Alabama hasn't won five straight Iron Bowls since Paul W. ""Bear"" Bryant won nine straight against Auburn from 1973 to 1981. Kalen DeBoer can be a part of a feat that hasn't been achieved in more than four decades. The Crimson Tide is currently the 13.5-point favorite. While Jordan-Hare produces nail-biting finishes on the regular, Alabama has been dominant in home games against Auburn. Nick Saban won every home game against Auburn except 2010. The Tigers return seven starters on offense, with three of the four newcomers at the receiver position, the other being left tackle. Michigan State transfer Payton Thorne enters his second year starting at quarterback for Auburn. His production has dipped every year since 2021 in which he threw for over 3,200 yards. In his first year on the plains, Thorne threw for only 1,755 yards and 16 touchdowns. Jarquez Hunter is as experienced as any running back in the conference, as he has totaled 2,000 yards combined over his last three seasons. Thorne finished second in rushing yards above second-string running back Damari Alston. The receiving core is full of new faces, as Hugh Freeze hit the recruiting trail and the transfer portal hard for pass catchers. Cam Coleman, a true freshman from Central-Phenix City High School in Alabama, was one of the highest ranked recruits in the entire 2024 cycle. Fellow freshmen receivers Perry Thompson, Bryce Cain and Malcolm Simmons assembled one of the better receiving recruiting hauls out of high school and provided much needed depth at the position. Penn State transfer KeAndre Lambert-Smith could be the Tigers' go-to wideout, as he has the most college experience. The fifth-year senior had over 1,600 yards in four years with the Nittany Lions, scoring 12 touchdowns in the process. Robert Lewis transferred over from Georgia State and has the highest single season receiving yards total as any player on the team, with 877 yards last season. Rivaldo Fairweather returns at tight end for Auburn after leading the program with 394 receiving yards in 2023. Auburn has four returning starters along the offensive line, namely center Connor Lew. Percy Lewis transferred from Mississippi State to play left tackle. Auburn didn't have a player drafted until day three of the 2024 NFL Draft, but five players heard their names called in rounds five to seven. Freeze hit the portal hard in need of depth, but only two players are expected to start right away: defensive lineman Isaiah Rakes from Texas A&M and safety Jerrin Thompson from Texas. Along the front seven, Keldric Faulk and Jayson Jones played frequently for the Tigers last season. They will be expected to have an expanded role with defensive linemen Justin Rogers and Marcus Harris heading on to the NFL. Senior edge rusher Jalen McLeod led the team with 5.5 sacks in 2023 and finished third in tackles. Eugene Asante led the team with 86 tackles and will be paired with newfound starter Austin Keys at the middle linebacker position. Freeze landed several highly ranked in-state linebacker commits such as Demarcus Riddick and D.J. Barber that will provide depth at the position. Cornerback Antonio Kite flipped sides of the rivalry, transferring from Alabama to Auburn after Nick Saban's retirement. Former Alabama and Colorado defensive back Jahquez Robinson recently joined the Tigers program as well. With Nehemiah Pritchett and Jaylin Simpson moving on to the NFL, there will be competition for defensive back spots. Former Alabama defensive backs coach Charles Kelly returned to Auburn to coach safeties. Prior to the Thanksgiving weekend matchup, Auburn hosts the Texas A&M Aggies, while Alabama travels to Oklahoma. The game is set for Saturday, Dec. 30.",26-07-24,"WVUA 23 Digital,","alabama football, Auburn football, hugh freeze, Iron Bowl, kalen deboer, Payton Thorne","Alabama, College Sports, Local News, Sports",26-07-24,"Auburn, Alabama / Central-Phenix City, Alabama / Tuscaloosa, Alabama / Oklahoma City, Oklahoma"
Spirit of Atlanta Drum Corps practicing for Hoover competition in Brookwood,https://www.wvua23.com/spirit-of-atlanta-drum-corps-practicing-for-competition-in-brookwood/,"By WVUA 23 News Reporter Paislee Roberts Drum Corps International'sSpirit of Atlantais in Brookwood this week ahead of a major performance at Spain Park High School in Hoover Friday night. DCI is a marching band made up of 160 students from around the world that travels around the country and competes against other groups. Members have 30 days of spring training where they practice for nearly 12 hours a day. ""The minor details are really what tends to get people and we work hard to make sure those look good, as well as the program is entertaining and the fans have a good time,"" said Spirit of Atlanta Operations Manager Nathan Gregory. The group performs around 30 shows each summer and works with local school bands. You can buy tickets to watch DCI compete at Spain Park High School by purchasing aticketfrom their website.",26-07-24,"WVUA 23 News,","brookwood high school, drum corps international, Spain Park high school",Local News,26-07-24,"Brookwood, Alabama / Hoover, Alabama"
Humane Society of West Alabama announces it's hired its first executive director,https://www.wvua23.com/humane-society-of-west-alabama-announces-its-hired-its-first-executive-director/,"TheHumane Society of West Alabamathis afternoon announced it's hired its first ever executive director. According to a post on itsFacebook page, HSWA's Executive Director Brian Gaerity will assist the nonprofit organization with critical operations including fundraising, budgeting and communications. ""I'm thrilled to join the Humane Society of West Alabama as it takes the next step in its 50-year evolution as a leader in the care and rehoming of abandoned, neglected and abused dogs and cats in our community,"" Gaerity said in a statement. ""The volunteers, board of directors, donors, and other supporters do heroic work and I'm humbled to join their team.""",26-07-24,"WVUA 23 Digital,",humane society of west alabama,Local News,26-07-24,"West Alabama, AL"
Walker County wreck Thursday kills man from Nauvoo,https://www.wvua23.com/walker-county-wreck-thursday-kills-man-from-nauvoo/,"A single-vehicle crash Thursday morning has claimed the life of a 56-year-old man from Nauvoo. The crash happened around 11:30 a.m. on New Oak Grove Road near Busby Church Road, about 2 miles southeast of Nauvoo. Joseph K. McLendon, 56, was fatally injured when the motorcycle he was riding ran off the road and into a ditch. McLendon was thrown from the motorcycle and was pronounced dead at the scene. Troopers with the Alabama Law Enforcement Agency's Highway Patrol Division are investigating the cause of the wreck.",26-07-24,"WVUA 23 Digital,","fatal wreck, walker county","Featured, Local News",26-07-24,"Nauvoo, Alabama"
Alabama's unemployment rate drops to 2.9% in June,https://www.wvua23.com/alabamas-unemployment-rate-drops-to-2-9-in-june/,"By WVUA 23 Digital Reporter Candace Johnson The number of people working in Alabama has slightly increased since June 2023. The percentage as of June 2024 is at 57.5%. The number of prime-age workers has been on the rise as well. These workers are between the ages of 25-54. Over the year, the percentage has increased by 1.4 percentage points to 79.2%. ""The number of prime age workers increased by more than one percentage point since last year,"" said Alabama Department of Labor Secretary Fitzgerald Washington. ""Combined with the growth in the civilian labor force, the growth in employment, and the growth in jobs, these numbers are all excellent indicators of Alabama's economic picture."" Alabama's unemployment rate from May to June has decreased from 3% to 2.9%. June 2023's rate was set at 2.3%. June 2024 reports that there are 67,784 unemployed persons. This contrasts with the number in May which was at 70,668. Employed persons have increased by 20,417, which leaves it at a new record of 2,270, 227. Just as employment and job counts have risen, the civilian labor force has as well. The civilian labor force has had an addition of 34,789 people join over the last year. The new record is currently at 2,338,011. Wage and salary as of June has grown to 2,218,400.""We are continuing to see Alabama's employers adding jobs at a record pace,"" continued Washington. ""Our economy is supportingÂ  more jobs than ever before. Additionally, our average weekly wages have increased to their second highest level ever,"" said Washington. In West Alabama unemployment rates are: Counties with the lowest unemployment rates are: Counties with the highest unemployment rates are: Major cities with the lowest unemployment rates are: Major cities with highest unemployment rates are:  Bibb County: 2.9% Fayette County: 3.2% Greene County: 4.6% Hale County: 4.1% Pickens County: 4.2% Tuscaloosa County: 2.9% Walker County: 3.0% Shelby and Morgan counties: 2.3% Marshall and Cullman counties: 2.4% Madison, Limestone and Elmore counties: 2.5% Wilcox County: 8.5% Perry County: 6.8% Dallas County: 6.0% Trussville and Vestavia Hills: 2.3% Alabaster, Hoover, Homewood and Madison: 2.2% Athens and Decatur: 2.4% Selma: 7.1% Prichard: 5.4% Bessemer: 4.0%",26-07-24,"WVUA 23 Digital,","alabama jobs, unemployment rates","Alabama News, Local News",26-07-24,"Tuscaloosa County, Alabama / Bibb County, Alabama / Fayette County, Alabama / Greene County, Alabama / Hale County, Alabama / Pickens County, Alabama / Walker County, Alabama / Shelby County, Alabama / Morgan County, Alabama / Madison County, Alabama / Limestone County, Alabama / Elmore County, Alabama / Wilcox County, Alabama / Perry County, Alabama / Dallas County, Alabama / Trussville, Alabama / Vestavia Hills, Alabama / Alabaster, Alabama / Hoover, Alabama / Homewood, Alabama / Madison, Alabama / Athens, Alabama / Decatur, Alabama / Selma, Alabama / Prichard, Alabama / Bessemer, Alabama"
Ivey awards grant for future Juvenile Justice Summit,https://www.wvua23.com/ivey-awards-grant-for-future-juvenile-justice-summit/,"Alabama Gov. Kay Ivey has handed over more than $65,000 to the Alabama Department of Youth Services for a future Juvenile Justice Summit. The summit, tentatively scheduled for fall 2025, will bring together about 300 justice personnel and community providers so they can focus on solutions for juvenile justice system issues. After the summit, the department will provide a report to Ivey and the state Legislature on where things are and how they can be changed for the better. ""Our young people are a precious resource, and it is crucial that we guide those who have become involved in the justice system toward healthier and more productive lives,"" Ivey said in a statement. ""I am pleased to support this summit, which will help shape the future of juvenile justice in Alabama."" The Alabama Department of Economic and Community Affairs is administering the grant using funds made available by the U.S. Department of Justice. ""This summit will create an opportunity to identify solutions to some of the unique challenges facing the juvenile justice system,"" ADECA Director Kenneth Boswell said. ""ADECA joins Gov. Ivey in support of this effort to improve the quality of the services these professionals provide."" ADECA administers a wide range of programs that support law enforcement, victim programs, economic development, water resource management, energy conservation and recreation.",26-07-24,"WVUA 23 Digital,",juvenile justice summit,"Alabama News, Local News",26-07-24,
McWright's Ferry Road Extension Project receives update,https://www.wvua23.com/mcwrights-ferry-road-extension-project-receives-update/,"By WVUA 23 Digital Reporter Candace Johnson The McWright's Ferry Road Extension Project has quickly progressed ahead of schedule. The project is intended to minimize traffic, provide safety and make even more improvements. The project began earlier this year and has made great advancements so far. Road closures began on July 15 and were expected to last two to three weeks. But conditions were favorable, and the city of Tuscaloosa says they've gotten this phase finished in less than two weeks. For those who have to commute through this area and want to stay up-to-date, updates can be found by goinghere.",26-07-24,"WVUA 23 Digital,","mcwright's ferry road, tuscaloosa road projects",Local News,26-07-24,"Tuscaloosa, Alabama"
Alabama's Rise Center gears up for graduation July 25,https://www.wvua23.com/alabamas-rise-center-gears-up-for-graduation-july-25/,"By WVUA 23 News Reporter Zoe Blair TheUniversity of Alabama Rise Centeris gearing up for graduation Thursday night. Thursday morning, the center hosted a dress rehearsal so students could prepare for their big evening. But unlike most graduations, these soon-to-be grads were decked out in their Disney best. After the rehearsal, students danced and sang songs from their characters' movies. The RISE Center serves children ages 6 weeks to 6 years with and without disabilities.",26-07-24,"WVUA 23 News,","graduation, RISE Center",Local News,26-07-24,"Tuscaloosa, Alabama"
"Tuscaloosa's Most Wanted: July 25, 2024",https://www.wvua23.com/tuscaloosas-most-wanted-july-25-2024/,"The Tuscaloosa County Sheriff's Office needs your help locating some of Tuscaloosa's Most Wanted. If you have any information on these or anyone else wanted by the Tuscaloosa County Sheriff's Office, please call 205-464-8672 or visittcsoal.org. You can also visit TCSO onFacebook hereor onTwitter here. William Hyche, 60, is last known to be living in the area of Rifle Range Road in Cottondale. Hyche is wanted on an unlawful manufacturing of a controlled substance charge. Robert Sanchez Williams, 29, is last known to be living in the area of Veterans Memorial Parkway. Williams is wanted on a first-degree property theft charge. Byron York, 31, is last known to be living in the area of 18th Street in Tuscaloosa. York is wanted on a first-degree burglary charge.",25-07-24,"WVUA 23 Digital,","tuscaloosa county crime, Tuscaloosa County Sheriff's Office, tuscaloosa's most wanted","Crime, Local News",26-07-24,"Tuscaloosa, Alabama / Cottondale, Alabama"
Northridge school parents asked to plan ahead for possible traffic delays,https://www.wvua23.com/northridge-school-parents-asked-to-plan-ahead-for-possible-traffic-delays/,"By WVUA 23 News Reporter Paislee Roberts Tuscaloosa City Schoolsmade an announcement for families who live within the Northridge school zone, warning parents and guardians to plan ahead for possible traffic delays when school goes back in session on Aug. 9. McWright's Ferry Road extension project will cause lane closures creating delays for parents and students who drive to various schools, especially Northridge High School and Northridge Middle School. TCSÂ  suggests signing students up for bus transportation for the beginning of the school year to help reduce traffic, which will hopefully allow students to arrive on time. School officials are also asking residents to sign up to receive traffic updates or alerts. You can sign up by texting ""MCWRIGHT"" TO 888777.",25-07-24,"WVUA 23 News,","mcwrights ferry road. tuscaloosa city schools, northridge high school",Local News,26-07-24,"Tuscaloosa, Alabama"
Community Fun Day planned for West Tuscaloosa,https://www.wvua23.com/community-fun-day-planned-for-west-tuscaloosa/,"By WVUA23 News Reporter Damaris Epps Mind Changers, in partnership with the Coley Agency, PARA, High Life Image, YMCA & Falcons 91 are hosting a West Side Community Fun Day in the park. There will be free food, games and music, as well as giveaways for backpacks, school supplies, hygiene products, and other necessities for school. There will also be a number of resource agencies on hand to provide information about there organization. The Al Freeman Pool will also be open for attendees to swim for free. The event is scheduled for Aug. 3, from 10 a.m. to 1 p.m.",26-07-24,"WVUA 23 News,","al freeman pool, community day, mind changers, West side","Featured, Local News",26-07-24,
Tuscaloosa city councilman to host back-to-school giveaway,https://www.wvua23.com/tuscaloosa-city-councilman-to-host-back-to-school-giveaway/,"By WVUA23 News Reporter Damaris Epps District 7 Tuscaloosa City Councilman Cassius Lanier, along with two other local organizations will be holding a back-to-school giveaway. Lanier and the Epsilon Epsilon chapter of Kappa Alpha Psi Fraternity Inc., along with Impact Nation Church have partnered for a school supplies giveaway. After a donation drive last weekend, they'll be giving out items July 27 at the Sycamore Shelter at Bowers Park from 10 a.m. to 2 p.m.",25-07-24,"WVUA 23 News,","back to school, bowers parks, cassius lanier, impact nation church, kappa alpha psi",Local News,26-07-24,"Tuscaloosa, Alabama"
"""We're just asking for transparency:' Northport residents voice concerns over University Beach development",https://www.wvua23.com/were-just-asking-for-transparency-northport-residents-voice-concerns-over-university-beach-development/,"By WVUA 23 News Reporter Zoe Blair District 5 Northport City Council Member Anwar Aiken held a town hall Wednesday night with a full agenda of items to discuss, but only one topic made it to the floor. Questions surrounding $350 million University Beach development took up the entirety of the hour and a half event. ""The University Beach project has been on the mind of just about everybody in District 5 and Northport for that matter,"" said Northport resident Tuffy Holland. ""We're just asking for transparency."" Residents from every district in the city packed the gym at Northport Intermediate School in the quest for answers to their many questions. Was there a traffic study? What will be the impact of the nearly 100-acre project on the wastewater treatment plant? How will the development impact neighboring subdivisions? But the biggest question, by far? Is there a way Northport can back out of this development? Aiken didn't have an answer for every question, but he said he's going to take those questions and concerns to the full council to make sure they're heard. ""I've definitely got a to-do list,"" Aiken said. ""I don't see it as just my to-do list, I see it as the council's to-do list. Constituents from all the districts have questions about University Beach and if we're going to do a partnership with them, they deserve answers."" Many residents like Holland said their biggest issue with the project is the lack of information available to the public. ""There hasn't been any information put out,"" he said. ""The information that we've got, we don't know if it's right or wrong and we're just very concerned with it."" The proposed water park would be located just off U.S. Highway 82 near Big Lots. That's an awkward space for a massive lagoon, a water park, hotels, condos and retail space, residents say. ""I haven't talked to anybody that is actually for this, especially in the location that it is,"" Holland said. ""It's shoehorned in between two well-established subdivisions, and I know that makes a lot of people mad. That's in addition to the fact that we just don't think it's viable in Northport."" Aiken, who was appointed to the District 5 seat in the wake of the sudden resignation of former Council President Jeff Hogg in March, made it clear at the meeting that he's also against the development. ""I'm against it,"" he said. ""I don't like the location, I don't like it by Buckhead or Shirley Farms. I see some red flags as it kind of relates to the development as a whole."" The town hall didn't ease many of the residents' concerns, but they were grateful for this opportunity to voice their issues with the project. ""No, (Aiken) didn't ease any of my concerns,"" Holland said. ""The biggest thing he did is to have this meeting,"" Holland said Northport residents are not giving up on trying to stop this development. Holland and a group of residents are currently involved in a lawsuit to get more information about the project. Thelawsuit was funded by that group of residentswho raised money from the community to try and prevent the development from happening. Read more: Northport stays committed on building a water park:Feb. 14, 2024 Northport OKs incentives for developer's $350M resort plan on Highway 82:Feb. 20, 2024 Northport residents aren't enthused about $350M resort plan:Feb. 20, 2024 Northport leaders: Luxury development will be a boon for city:Feb. 21, 2024 Northport resident starts GoFundMe in hopes of getting a lawyer to combat incoming development:Feb. 27, 2024 Northport City Council President Jeff Hogg resigns:March 7, 2024",25-07-24,"WVUA 23 News,","Anwar Aiken, City of Northport, Northport Town Hall, northport water park, university beach","Featured, Local News",26-07-24,"Northport, Alabama"
Tuscaloosa City Schools board is taking pointers from Mobile after Chamber trip,https://www.wvua23.com/tuscaloosa-city-schools-board-is-taking-pointers-from-mobile-after-chamber-trip/,"Tuscaloosa City Schools Board of Education members recently spoke with representatives at Saraland City Schools to learn about how to improve TCS schools. Representatives from TCS went on theChamber of Commerce of West Alabama'sannual benchmarking trip to Mobile. This year's trip included more than 50 Chamber members. During the trip, TCS board members heard from Saraland City School leaders about their approach to managing their tax referendum. Erica Grant is the District 5 representative for the TCS board. She said she looks forward to taking what she learned and applying it in Tuscaloosa. ""It was very good,"" Grant said. ""They talked about training teachers, teacher recruitment. They also talked about the tax referendum that they have that they went through.Â  It was very interesting because we're going through the same thing that they went through. They used the term of building our income for our future, and so that's something that we took a lot of notes on."" Grant said she will be bringing ideas to the school board on how Saraland used the money they received from their own tax referendum.",24-07-24,"Jalen Prince,","benchmarking trip, chamber of commerce of west alabama, Tuscaloosa City Schools",Local News,26-07-24,"Tuscaloosa, Alabama / Saraland, Alabama / Mobile, Alabama"
Hale County Hospital ER getting million-dollar makeover,https://www.wvua23.com/hale-county-hospital-er-getting-million-dollar-makeover/,"Hale County Hospital in Greensboro is getting $1 million for a brand new emergency room, thanks to a grant acquired by U.S. Rep. Terri Sewell. ""The original ER was actually only one room,"" said Hale County Hospital Chief of Medical Staff Dr. Meghan Bonds. ER room No. 4 is the original ER treatment room, and not much has changed since it was built. While Hale County Hospital has four emergency treatment rooms now, that's not enough. ""It was desperately in need of an update,"" Bonds said. ""When you're working with outdated facilities, sometimes you're a bit limited in achieving even better medical care."" The grant will go toward upgrading the hospital's emergency department, installing more rooms and getting more lifesaving equipment for patients. ""It's going to be a brand new place. We'll be fully able to take care of all the patients that come through,"" Bonds said. District 72 State Rep. Curtis Travis, who represents areas of Bibb, Greene, Hale and Tuscaloosa counties, said health care is a big priority for his district and it's important that the Alabama legislature is working on improving services in rural areas. ""This particular grant is so important,"" Travis said. ""It also goes a long way in keeping the community established, especially the hospital. There's nothing like having a great hospital that you can depend on and count on to go to when there's an emergency."" Hale County Hospital administrators have been working to expand their services with telemedicine appointments, access to UAB Hospital specialists, and hiring and retaining more doctors. Bonds said while the ER is getting attention right now, more improvements are on the way. ""We have a really solid foundation, and that's why it's really exciting to then get a grand that will allow us to expand what were doing, to really allows us to continue the work that we're already in motion doing here in Hale County,"" Bonds said.",24-07-24,"Avery Boyce,","hale county hospital, rural health care","Featured, Local News",26-07-24,"Greensboro, Alabama / Hale County, Alabama"
Former Lake View mayor's charges upgraded to producing child abuse sex material,https://www.wvua23.com/former-lake-view-mayors-charges-upgraded-to-producing-child-abuse-sex-material/,"Weeks after former Lake View Mayor Paul Calhoun was arrested and charged with child sex abuse material possession, he's now facing additional charges of producing material. In deposition documents filed July 24, Calhoun is accused of taking photos of a teen subject in addition to possessing thousands of CSAM photos and videos. Each photo resulted in a CSAM production or attempted production charge. Calhoun was arrested July 10 and charged with a single count of CSAM possession, but at the time investigators said they'd found at least a thousand files and more charges were likely. The 10 new charges brings Calhoun's current count up to 11, but the investigation is far from over and each instance of CSAM possession or production can produce a new charge. He remains in the Tuscaloosa County Jail. Read more: Former Lake View mayor charged with child pornography possession:July 10, 2024",24-07-24,"WVUA 23 Digital,",paul calhoun,"Crime, Featured, Local News",26-07-24,"Lake View, Alabama / Tuscaloosa County, Alabama"
